Institute ID,Institute Name,TLR,RPC,GO,OI,PERCEPTION,City,State,Score,Rank
IR-O-U-0458,Kalasalingam Academy of Research and Education,60.1,26.46,71.2,74.72,22.92,Srivilliputtur,Tamil Nadu,49.97,50
IR-O-U-0262,"Mahatma Gandhi University, Kottayam",65.16,36.16,70.48,51.18,2.74,Kottayam,Kerala,49.89,51
IR-O-U-0260,Kerala University,65.23,20.29,94.4,51.07,2.21,Thiruvananthapuram,Kerala,49.87,52
IR-O-U-0435,Alagappa University,61.66,32.63,72.21,51.56,18.45,Karaikudi,Tamil Nadu,49.73,53
IR-O-U-0235,Mysore University,68.9,16.81,90.68,53.79,4.8,Mysuru,Karnataka,49.71,54
IR-O-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),61.22,36.63,67.04,56.83,12.6,Vaddeswaram,Andhra Pradesh,49.71,54
IR-O-U-0368,Jawaharlal Institute of Post Graduate Medical Education & Research,68.18,26.11,63.63,68.18,18.81,Puducherry,Pondicherry,49.71,54
IR-O-I-1480,Thapar Institute of Engineering and Technology,49.86,44.83,70.57,55.09,16.21,Patiala,Punjab,49.65,57
IR-O-U-0379,Lovely Professional University,56.4,34.71,66.11,69.33,20.57,Phagwara,Punjab,49.54,58
IR-O-U-0064,"Indian Institute of Technology, Patna",62.04,39.31,62.25,51.98,14.24,Patna,Bihar,49.47,59
IR-O-U-0222,JSS Academy of Higher Education and Research,68.12,21.4,69.04,69.37,16.97,Mysuru,Karnataka,49.31,60
IR-O-U-0272,Indian Institute of Science Education & Research Bhopal,66.74,29.19,64.82,66.84,8.66,Bhopal,Madhya Pradesh,49.29,61
IR-O-U-0329,Symbiosis International,65.62,17.8,74.9,66.57,25.46,Pune,Maharashtra,49.22,62
IR-O-U-0098,Delhi Technological University,57.93,32.46,66.55,57.34,28.71,New Delhi,Delhi,49.03,63
IR-O-U-0052,Gauhati University,59.42,21.66,89.82,58.19,8.66,Guwahati,Assam,48.98,64
IR-O-U-0355,Indian Institute of Technology Bhubaneswar,53.86,38.2,65.46,60.45,16.97,Bhubaneswar,Odisha,48.46,65
